Ativo,Estrategia,Original_Signal,Executed_Dir,Entry_Date,Date,Entry_Price,Exit_Price,Hold_Days,Exit_Reason,Metric,PNL,Return_%
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-03-17,2025-03-18,127.76,128.26,1,Daily Cash MtM,Beta,499.52,0.3914
CBAV3,OU_MR,Buy,Sell,2025-03-07,2025-03-18,5.2,5.22,8,Time Exit,HL:8.0,-192.31,-0.38
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-03-18,2025-03-19,128.26,129.6,1,Daily Cash MtM,Beta,2960.95,1.0448
AURE3,OU_MR,Buy,Sell,2025-03-06,2025-03-19,7.85,7.68,10,Time Exit,HL:10.1,1082.8,2.17
AERI3,Vol_Compress,Sell,Buy,2025-03-11,2025-03-19,3.66,3.8,7,Time Exit,VPct:18,1912.57,3.83
PGMN3,Vol_Climax,Buy,Sell,2025-03-13,2025-03-19,2.86,3.11,5,Time Exit,Vz:4.0,-4370.63,-8.74
POMO4,OU_MR,Buy,Sell,2025-03-13,2025-03-19,5.22,5.57,5,Time Exit,HL:5.4,-3352.49,-6.7
ALPA4,OU_MR,Sell,Buy,2025-03-17,2025-03-19,5.9,6.08,3,Time Exit,HL:3.9,1525.42,3.05
CASH_SWEEP_BOVA11,Cash_Overlay,Hold,Buy,2025-03-19,2025-03-20,129.6,128.85,1,Daily Cash MtM,Beta,-1638.7,-0.5787
BRSR6,OU_MR,Sell,Buy,2025-03-05,2025-03-20,9.42,9.89,12,Time Exit,HL:12.5,2494.69,4.99
AZZA3,Vol_Climax,Buy,Sell,2025-03-14,2025-03-20,21.36,21.63,5,Time Exit,Vz:4.2,-632.02,-1.26
HBOR3,Vol_Climax,Sell,Buy,2025-03-14,2025-03-20,1.48,1.55,5,Time Exit,Vz:3.8,2364.86,4.73
BEEF3,OU_MR,Sell,Buy,2025-03-19,2025-03-20,5.35,6.02,2,Take Profit,HL:3.3,6261.68,12.52
BBDC3,OU_MR,Sell,Buy,2025-03-19,2025-03-21,10.1,10.18,3,Time Exit,HL:3.3,396.04,0.79
BHIA3,VWAP_Divergence,Sell,Buy,2025-03-21,2025-03-21,7.06,7.94,1,Take Profit,Div:54.0%,6232.29,12.46
COGN3,Vol_Climax,Buy,Sell,2025-03-17,2025-03-21,1.5,1.61,5,Time Exit,Vz:3.4,-3666.67,-7.33
MBRF3,OU_MR,Sell,Buy,2025-03-20,2025-03-21,16.0,17.99,2,Take Profit,HL:6.5,6218.75,12.44
