Ativo	Entry_Date	Date	tranches_deployed	vwap_entry	exit_price	PNL	return_pct	exit_reason
CASH_SWEEP_BOVA11	2024-05-03	2024-05-06	0	124.82	124.71	-603.81	-0.09	Daily Cash MtM
VBBR3	2024-04-24	2024-05-06	2	18.49	19.68	1,345.23	6.41	Take Profit
ENGI11	2024-04-19	2024-05-06	1	37.20	38.99	501.10	4.81	Take Profit
BRKM5	2024-04-18	2024-05-06	1	22.40	19.79	-1,218.49	-11.65	Take Profit
NEOE3	2024-04-17	2024-05-06	1	18.13	18.33	116	1.10	Take Profit
B3SA3	2024-04-17	2024-05-06	2	10.40	10.58	355.73	1.70	Take Profit
MULT3	2024-04-16	2024-05-06	1	21.93	22.37	213.90	2.01	Take Profit
ITUB4	2024-04-16	2024-05-06	2	23.70	24.07	330.54	1.56	Take Profit
MOVI3	2024-04-04	2024-05-06	1	6.97	6.72	-392.07	-3.59	Take Profit
CYRE3	2024-04-16	2024-05-06	2	18.28	19.26	1,139.99	5.38	Take Profit
ALOS3	2024-04-15	2024-05-06	2	19.03	18.93	-117.01	-0.54	Take Profit
EZTC3	2024-04-11	2024-05-06	3	9.59	9.88	1,302.87	3.01	Take Profit
LWSA3	2024-04-04	2024-05-06	2	4.66	4.57	-398.54	-1.86	Take Profit
EQTL3	2024-04-02	2024-05-06	2	29.27	29.73	339.12	1.55	Take Profit
MGLU3	2024-03-27	2024-05-06	2	15.02	14.61	-582.97	-2.70	Take Profit
ITSA4	2024-04-16	2024-05-06	2	7.34	7.47	389.49	1.84	Take Profit
VIVA3	2024-03-19	2024-05-07	3	23.55	22.54	-1,885.71	-4.29	Take Profit
CASH_SWEEP_BOVA11	2024-05-06	2024-05-07	0	124.71	125.40	3,959.26	0.55	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-05-07	2024-05-08	0	125.40	125.75	2,162.99	0.28	Daily Cash MtM
GMAT3	2024-04-17	2024-05-08	1	7.02	7.30	419.42	3.99	Take Profit
SIMH3	2024-04-16	2024-05-08	2	12.63	12.35	-469.19	-2.22	Take Profit
VAMO3	2024-04-16	2024-05-08	2	6.57	7.40	2,663.42	12.61	Take Profit
UGPA3	2024-04-24	2024-05-09	2	23.28	22.67	-553.48	-2.64	Take Profit
KLBN11	2024-04-30	2024-05-09	1	18.02	18.55	310.80	2.94	Take Profit
MBRF3	2024-05-07	2024-05-09	1	7.78	8.82	1,476.54	13.37	Take Profit
CASH_SWEEP_BOVA11	2024-05-08	2024-05-09	0	125.75	124.52	-7,921.43	-0.98	Daily Cash MtM
BEEF3	2024-04-16	2024-05-10	2	5.86	6.11	903.74	4.27	Take Profit
AURE3	2024-04-17	2024-05-10	1	11.63	11.77	126.58	1.20	Take Profit
CASH_SWEEP_BOVA11	2024-05-09	2024-05-10	0	124.52	124.01	-3,281.83	-0.41	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-05-10	2024-05-13	0	124.01	124.56	3,246.52	0.44	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-05-13	2024-05-14	0	124.56	124.81	1,453.76	0.20	Daily Cash MtM
CPFE3	2024-04-30	2024-05-15	2	32.25	34.10	1,226.72	5.74	Take Profit
POMO4	2024-05-02	2024-05-15	1	4.91	5.06	330.28	3.05	Take Profit
CASH_SWEEP_BOVA11	2024-05-14	2024-05-15	0	124.81	124.23	-3,427.66	-0.46	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-05-15	2024-05-16	0	124.23	124.55	2,014.93	0.26	Daily Cash MtM
ANIM3	2024-04-16	2024-05-16	3	3.10	3.54	5,965.78	14.17	Take Profit
RAIL3	2024-04-17	2024-05-17	2	20.01	20	-14.56	-0.07	Take Profit
TIMS3	2024-05-13	2024-05-17	1	14.16	14.73	442.80	4.03	Take Profit
CASH_SWEEP_BOVA11	2024-05-16	2024-05-17	0	124.55	124.37	-1,164.29	-0.14	Daily Cash MtM
ECOR3	2024-03-27	2024-05-20	2	7.51	6.98	-1,550.07	-7.08	Take Profit
ASAI3	2024-04-17	2024-05-20	2	12.57	13.15	960.88	4.58	Take Profit
CASH_SWEEP_BOVA11	2024-05-17	2024-05-20	0	124.37	124.12	-1,657.58	-0.20	Daily Cash MtM
CSNA3	2024-03-08	2024-05-21	2	14	12.89	-1,747.22	-7.96	Take Profit
CASH_SWEEP_BOVA11	2024-05-20	2024-05-21	0	124.12	123.70	-2,815.73	-0.34	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-05-21	2024-05-22	0	123.70	122.07	-10,927.54	-1.32	Daily Cash MtM
AZZA3	2024-04-11	2024-05-23	2	47.23	44.80	-1,130.55	-5.15	Take Profit
CASH_SWEEP_BOVA11	2024-05-22	2024-05-23	0	122.07	121.10	-5,881.66	-0.79	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-05-23	2024-05-24	0	121.10	120.64	-2,582.75	-0.38	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-05-24	2024-05-27	0	120.64	120.87	1,208.97	0.19	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-05-27	2024-05-28	0	120.87	120.18	-3,566.57	-0.57	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-05-28	2024-05-29	0	120.18	119.12	-5,193.86	-0.88	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-05-29	2024-05-31	0	119.12	118.66	-1,798.40	-0.39	Daily Cash MtM
PETR4	2024-05-17	2024-06-03	2	29.12	30.54	1,075.39	4.87	Take Profit
PETR3	2024-05-20	2024-06-03	1	30.82	32.51	606.96	5.48	Take Profit
RECV3	2024-05-23	2024-06-03	1	14.87	15.57	517.95	4.71	Take Profit
CASH_SWEEP_BOVA11	2024-05-31	2024-06-03	0	118.66	118.44	-669.72	-0.19	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-06-03	2024-06-04	0	118.44	118.16	-652.20	-0.24	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-06-04	2024-06-05	0	118.16	117.90	-488.99	-0.22	Daily Cash MtM
SBSP3	2024-05-23	2024-06-06	2	68.73	70.56	583.85	2.67	Take Profit
CASH_SWEEP_BOVA11	2024-06-05	2024-06-06	0	117.90	119.40	2,165.93	1.27	Daily Cash MtM
LWSA3	2024-05-23	2024-06-07	2	3.79	4.12	1,935.83	8.85	Take Profit
CYRE3	2024-05-24	2024-06-07	1	17.24	17.48	151.34	1.39	Take Profit
BPAC11	2024-05-27	2024-06-07	1	30.68	31.06	133.88	1.24	Take Profit
EZTC3	2024-05-31	2024-06-07	1	8.63	8.98	434.93	4.06	Take Profit
CASH_SWEEP_BOVA11	2024-06-06	2024-06-07	0	119.40	117.13	-4,160.09	-1.90	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-06-07	2024-06-10	0	117.13	117.35	322.92	0.19	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-06-10	2024-06-11	0	117.35	118	663.28	0.55	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-06-11	2024-06-12	0	118	116.46	-1,571.45	-1.31	Daily Cash MtM
CASH_SWEEP_BOVA11	2024-06-12	2024-06-13	0	116.46	116.18	-209.36	-0.24	Daily Cash MtM
WEGE3	2024-05-31	2024-06-14	1	35.25	35.89	194.71	1.82	Take Profit
CMIN3	2024-06-05	2024-06-14	2	3.95	4.21	1,393.39	6.58	Take Profit
CASH_SWEEP_BOVA11	2024-06-13	2024-06-14	0	116.18	116.22	30.69	0.03	Daily Cash MtM
RADL3	2024-06-03	2024-06-17	1	23.61	24.29	306.64	2.88	Take Profit
CASH_SWEEP_BOVA11	2024-06-14	2024-06-17	0	116.22	115.74	-370.76	-0.41	Daily Cash MtM
ITUB4	2024-05-31	2024-06-18	2	23.38	23.83	411.27	1.92	Take Profit
CASH_SWEEP_BOVA11	2024-06-17	2024-06-18	0	115.74	116.12	194.01	0.33	Daily Cash MtM
CSNA3	2024-06-05	2024-06-19	2	11.63	12.23	1,094.73	5.17	Take Profit
CASH_SWEEP_BOVA11	2024-06-18	2024-06-19	0	116.12	116.76	223.19	0.55	Daily Cash MtM
HYPE3	2024-06-03	2024-06-20	1	24.73	26.91	938.52	8.82	Take Profit
