Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL,lot_size
2024-01-12,TASA4,55,0.71,1.0,3.3,-3.01,60341.0,TASA4_Up_0.5_open_Afastado_0_Sell_Pavio,12.94,0.75,0.71,0.7,1,False,13.06,12.94,-468.00000000000387,3900
2024-01-12,USIM3,18,0.78,1.61,6.9,-3.01,60005.0,USIM3_Up_0.5_close_Afastado_1_Buy_Corpo,8.0,1.0,0.78,0.78,1,False,7.85,8.0,-930.0000000000018,6200
2024-01-12,VITT3,24,0.71,1.95,4.55,-4.9,59998.0,VITT3_Down_0.5_high_Afastado_0.5_Buy_Pavio,8.58,0.75,0.71,0.71,1,True,8.36,8.58,-1276.0000000000036,5800
2024-01-15,BITH11,21,0.76,1.59,4.73,-3.73,59737.0,BITH11_Up_0.5_low_Afastado_-1_Sell_Pavio,48.55,0.75,0.76,0.76,1,True,50.01,48.55,-1460.000000000001,1000
2024-01-15,BPAC11,34,0.71,0.99,4.21,-2.73,58994.0,BPAC11_Up_0.5_low_Afastado_-1_Buy_GAP,36.18,0.75,0.71,0.71,1,False,38.47,36.18,3205.9999999999986,1400
2024-01-15,BRAV3,34,0.71,1.24,6.85,-3.34,60111.0,BRAV3_Down_0.5_high_Afastado_-0.5_Sell_Movimento,28.89,1.0,0.71,0.71,1,False,28.7,28.89,323.00000000000205,1700
2024-01-15,BRFS3,18,0.78,2.19,5.15,-2.97,63969.0,BRFS3_Up_0.5_open_Afastado_0_Buy_Corpo,12.12,1.0,0.78,0.78,1,False,12.77,12.12,2665.0000000000014,4100
2024-01-15,GGPS3,59,0.71,1.05,4.3,-4.38,63002.0,GGPS3_Up_0.5_open_Afastado_-1_Sell_Pavio,17.48,0.75,0.71,0.68,1,True,17.62,17.48,-406.0000000000015,2900
2024-01-15,HASH11,40,0.75,0.9,3.75,-4.13,59475.0,HASH11_Up_0.5_open_Afastado_-0.5_Buy_GAP,35.62,1.0,0.75,0.75,1,False,34.61,35.62,-1413.9999999999973,1400
2024-01-15,ISAE4,47,0.72,0.94,3.03,-3.11,60710.0,ISAE4_Down_0.5_close_Afastado_0.5_Sell_Pavio,24.72,0.75,0.72,0.72,1,False,24.65,24.72,140.0000000000004,2000
2024-01-15,JALL3,34,0.71,1.81,4.41,-3.43,67917.0,JALL3_Up_0.5_open_Afastado_1_Sell_Pavio,7.61,0.75,0.71,0.71,1,False,7.46,7.61,990.0000000000019,6600
2024-01-15,POMO3,42,0.74,1.64,5.94,-3.44,68703.0,POMO3_Down_0.5_close_Afastado_1_Buy_Pavio,4.07,1.0,0.74,0.74,1,False,4.06,4.07,-123.00000000000739,12300
2024-01-15,RAPT4,17,0.82,1.93,5.6,-3.41,61402.0,RAPT4_Down_0.5_open_Afastado_0.5_Buy_Corpo,12.99,0.75,0.82,0.82,1,False,12.38,12.99,-2317.9999999999977,3800
2024-01-15,RENT3,30,0.73,1.11,3.11,-3.07,59656.0,RENT3_Up_0.5_low_Afastado_1_Sell_Pavio,56.76,1.0,0.73,0.73,1,True,57.2,56.76,-396.0000000000043,900
2024-01-15,SBFG3,16,0.81,2.36,4.34,-3.91,64457.0,SBFG3_Down_0.5_open_Afastado_0_Sell_GAP,10.85,0.75,0.81,0.81,1,True,11.0,10.85,-690.0000000000014,4600
