Date,Ativo,Rastreador,Entry_Open,Exit_Close,PNL,Entry_Date,Costs_R$,Rel_Volume_Entry
2025-06-26,CASH_SWEEP,LONG,132.55,133.96,9256.79,2025-06-25,0.0,0.0
2025-06-27,CASH_SWEEP,LONG,133.96,133.79,-875.09,2025-06-26,0.0,0.0
2025-06-30,MOVI3,LONG,6.95,6.6,-9735.99,2025-06-27,370.14,3.21
2025-06-30,CASH_SWEEP,LONG,133.79,135.85,13375.04,2025-06-27,0.0,0.0
2025-07-01,CASH_SWEEP,LONG,135.85,136.52,4350.09,2025-06-30,0.0,0.0
2025-07-02,CASH_SWEEP,LONG,136.52,135.91,-3960.55,2025-07-01,0.0,0.0
2025-07-03,CASH_SWEEP,LONG,135.91,137.92,13050.28,2025-07-02,0.0,0.0
2025-07-04,CASH_SWEEP,LONG,137.92,138.13,1363.51,2025-07-03,0.0,0.0
2025-07-07,CASH_SWEEP,LONG,138.13,136.45,-10907.78,2025-07-04,0.0,0.0
2025-07-08,CASH_SWEEP,LONG,136.45,136.15,-1947.83,2025-07-07,0.0,0.0
2025-07-09,CASH_SWEEP,LONG,136.15,134.11,-13245.06,2025-07-08,0.0,0.0
2025-07-10,HYPE3,LONG,22.31,25.75,26548.43,2025-04-25,373.88,3.85
2025-07-10,PSSA3,LONG,44.13,49.79,23858.61,2025-05-12,399.6,3.35
2025-07-10,CSMG3,LONG,25.04,25.48,3163.77,2025-06-16,385.78,3.62
2025-07-10,CASH_SWEEP,LONG,134.11,133.61,-4783.95,2025-07-09,0.0,0.0
2025-07-11,BBDC4,LONG,13.83,15.07,15926.91,2025-05-09,375.95,6.45
2025-07-11,BPAC11,LONG,39.48,39.6,393.5,2025-07-10,387.24,3.19
2025-07-11,CASH_SWEEP,LONG,133.61,133.5,-1373.04,2025-07-10,0.0,0.0
2025-07-14,CASH_SWEEP,LONG,133.5,132.09,-17599.83,2025-07-11,0.0,0.0
2025-07-15,SAPR11,LONG,31.05,35.7,28174.06,2025-06-10,407.75,4.19
2025-07-15,CASH_SWEEP,LONG,132.09,132.37,3155.95,2025-07-14,0.0,0.0
2025-07-16,PSSA3,LONG,50.21,50.12,-526.49,2025-07-15,377.17,3.9
2025-07-16,TIMS3,LONG,19.63,19.67,195.39,2025-07-15,377.89,5.35
2025-07-16,CASH_SWEEP,LONG,132.37,132.4,381.29,2025-07-15,0.0,0.0
2025-07-17,MRVE3,LONG,6.09,5.94,-4771.84,2025-07-16,368.31,4.19
2025-07-17,CASH_SWEEP,LONG,132.4,132.47,985.81,2025-07-16,0.0,0.0
2025-07-18,CASH_SWEEP,LONG,132.47,130.3,-30556.86,2025-07-17,0.0,0.0
2025-07-21,CASH_SWEEP,LONG,130.3,131.2,11384.84,2025-07-18,0.0,0.0
2025-07-22,VIVA3,LONG,25.05,25.2,928.41,2025-07-21,374.0,3.29
2025-07-22,CASH_SWEEP,LONG,131.2,131.15,-633.99,2025-07-21,0.0,0.0
2025-07-23,CASH_SWEEP,LONG,131.15,132.39,15722.03,2025-07-22,0.0,0.0
2025-07-24,CASH_SWEEP,LONG,132.39,130.78,-20413.19,2025-07-23,0.0,0.0
2025-07-25,CASH_SWEEP,LONG,130.78,130.45,-4184.09,2025-07-24,0.0,0.0
